Name,Kitchens,Delivery cost (PLN),Min order cost (PLN)
La Vietnamita,"Chińska, Tajska, Wietnamska",5.0,30.0
Pizza z piecca,"Włoska, Pizza",5.0,35.0
Tagine - kuchnia marokańska,"Dania na lunch, Zupy, Arabska",0.0,30.0
Warszawski Mostek,"Kanapki, Dania na lunch, Burgery",0.0,30.0
Fugu Sushi Chodkiewicza,"Sushi, Japońska",0.0,50.0
5 Składników,"Sushi, Dania na lunch, Zupy",10.0,50.0
Projekt Sushi,"Sushi, Japońska, Owoce morza",0.0,0.0
India Gate,"Dania na lunch, Curry, Indyjska",0.0,30.0
Arbuz Kebab & Burger,"Burgery, Falafel, Kebab",0.0,35.0
Sushi Royal Złote Tarasy,"Sushi, Dania na lunch",0.0,40.0
Indyjskie Smaki,"Sałatki, Indyjska",10.0,40.0
Udon Bar,"Chińska, Dania na lunch",0.0,30.0
Kebab Hookah & Bar,"Turecka, Falafel, Kebab",3.0,20.0
Rock'n'roll Sushi Puławska,"Sushi, Japońska, Międzynarodowa",0.0,50.0
Tanuki Sushi,"Sushi, Japońska",0.0,50.0
Izumi Sushi and Grill,"Sushi, Japońska",7.0,100.0
Mama Pho Chmielna,"Chińska, Wietnamska, Zupy",0.0,30.0
Buła City,"Kanapki, Burgery, Międzynarodowa",0.0,30.0
Sushi Royal Bistro,"Sushi, Japońska",10.0,50.0
Subway,Kanapki,0.0,30.0
Spice Garden,Indyjska,0.0,35.0
Pyza Warszawska,"Wegańska, Polska, Pierogi",0.0,30.0
Tikka Tango,"Zupy, Menu dla dzieci, Indyjska",15.0,119.0
Pizza Nocna,"Pierogi, Makarony, Pizza",7.0,35.0
Boscaiola,"Włoska, Pizza",18.0,50.0
Fat Finch,"Włoska, Dania na lunch, Pizza",0.0,30.0
Jaipur,"Międzynarodowa, Curry, Indyjska",0.0,25.0
Vege Sushi,"Sushi, Wegetariańska, Wegańska",8.0,30.0
